id,crossing_id,reported_at,wait_minutes,reported_by,source,raw_text,quality_flag,camera_avg_min
8,2,2026-05-02 02:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 00:08 | by mpb_kosovo | Estimated waiting time by Google,ok,1.3
7,2,2026-05-02 02:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 00:38 | by mpb_kosovo | 15 min,ok,1.3
6,2,2026-05-02 03:28:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 01:28 | by mpb_kosovo | 15 min,ok,1.3
5,2,2026-05-02 03:49:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 01:49 | by mpb_kosovo | 15 min,ok,1.3
4,2,2026-05-02 04:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 02:08 | by mpb_kosovo | 15 min,ok,1.3
3,2,2026-05-02 04:28:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 02:28 | by mpb_kosovo | 15 min,ok,1.3
2,2,2026-05-02 04:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 02:38 | by mpb_kosovo | 15 min,ok,1.3
1,2,2026-05-02 04:49:00+02,15,mpb_kosovo,borderalarm,Lastly reported | 15 min | 02.05.2026 02:49 | by mpb_kosovo | 15 min,ok,1.3
16,2,2026-05-02 10:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 10:08 | by mpb_kosovo | Estimated waiting time by Google,no_camera_data,
15,2,2026-05-02 10:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 10:38 | by mpb_kosovo | 15 min,no_camera_data,
14,2,2026-05-02 11:28:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 11:28 | by mpb_kosovo | 15 min,no_camera_data,
13,2,2026-05-02 11:49:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 11:49 | by mpb_kosovo | 15 min,no_camera_data,
12,2,2026-05-02 12:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 12:08 | by mpb_kosovo | 15 min,no_camera_data,
11,2,2026-05-02 12:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 12:38 | by mpb_kosovo | 15 min,no_camera_data,
10,2,2026-05-02 13:28:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 13:28 | by mpb_kosovo | 15 min,ok,1.4
9,2,2026-05-02 13:49:00+02,15,mpb_kosovo,borderalarm,Lastly reported | 15 min | 02.05.2026 13:49 | by mpb_kosovo | 15 min,ok,1.4
20,2,2026-05-02 14:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 14:08 | by mpb_kosovo | 15 min,ok,1.4
19,2,2026-05-02 14:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 14:38 | by mpb_kosovo | 15 min,ok,1.4
18,2,2026-05-02 15:28:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 15:28 | by mpb_kosovo | 15 min,ok,1.4
17,2,2026-05-02 15:49:00+02,15,mpb_kosovo,borderalarm,Lastly reported | 15 min | 02.05.2026 15:49 | by mpb_kosovo | 15 min,ok,1.4
26,2,2026-05-02 16:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 16:08 | by mpb_kosovo | 15 min,ok,9.2
25,2,2026-05-02 16:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 16:38 | by mpb_kosovo | 15 min,ok,9.2
24,2,2026-05-02 17:28:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 17:28 | by mpb_kosovo | 15 min,ok,9.2
23,2,2026-05-02 17:49:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 17:49 | by mpb_kosovo | 15 min,ok,9.2
22,2,2026-05-02 18:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 18:08 | by mpb_kosovo | 15 min,ok,7.2
21,2,2026-05-02 18:38:00+02,15,mpb_kosovo,borderalarm,Lastly reported | 15 min | 02.05.2026 18:38 | by mpb_kosovo | 15 min,ok,7.2
34,2,2026-05-02 21:29:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 21:29 | by mpb_kosovo | Estimated waiting time by Google,ok,0.5
33,2,2026-05-02 21:49:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 21:49 | by mpb_kosovo | 15 min,ok,0.5
32,2,2026-05-02 22:08:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 22:08 | by mpb_kosovo | 15 min,ok,0.5
31,2,2026-05-02 22:38:00+02,15,mpb_kosovo,borderalarm,by mpb_kosovo | 15 min | 02.05.2026 22:38 | by mpb_kosovo | 15 min,ok,0.5
