id,crossing_id,track_id,vehicle_type,lane,entered_at,exited_at,duration_sec,frame_count,avg_confidence,notes
1,2,7,car,Blace L2,2026-05-02 02:57:16.601068,2026-05-02 02:57:28.990991,12.39,19,0.462,
4,2,3,car,Blace L2,2026-05-02 02:57:16.601068,2026-05-02 02:57:41.550063,24.95,34,0.855,
11,2,10,car,Blace L3,2026-05-02 02:57:16.601068,2026-05-02 02:58:37.92975,81.33,131,0.397,
15,2,6,car,Blace L2,2026-05-02 02:57:16.601068,2026-05-02 02:59:03.683911,107.08,178,0.776,
20,2,1,car,,2026-05-02 02:57:16.601068,2026-05-02 03:00:37.391485,200.79,239,0.92,
24,2,5,car,Blace L3,2026-05-02 02:57:16.601068,2026-05-02 03:00:43.612955,207.01,250,0.739,
28,2,2,car,Blace L3,2026-05-02 02:57:16.601068,2026-05-02 03:02:04.64936,288.05,337,0.923,
31,2,4,car,Blace L3,2026-05-02 02:57:16.601068,2026-05-02 03:03:18.149419,361.55,464,0.842,
2,2,11,car,,2026-05-02 02:57:17.814188,2026-05-02 02:57:31.330957,13.52,21,0.344,
3,2,13,car,Blace L3,2026-05-02 02:57:26.155429,2026-05-02 02:57:39.607588,13.45,18,0.369,
5,2,12,car,Blace L2,2026-05-02 02:57:27.842204,2026-05-02 02:57:42.6963,14.85,20,0.405,
6,2,17,car,Blace L2,2026-05-02 02:57:39.607588,2026-05-02 02:57:50.816558,11.21,17,0.372,
13,2,13,car,Blace L3,2026-05-02 02:57:42.6963,2026-05-02 02:58:37.92975,55.23,96,0.492,
7,2,20,car,Blace L2,2026-05-02 02:57:47.880035,2026-05-02 02:58:04.227203,16.35,26,0.444,
8,2,7,car,Blace L2,2026-05-02 02:57:47.880035,2026-05-02 02:58:06.476296,18.6,30,0.669,
9,2,21,car,Blace L2,2026-05-02 02:57:52.059971,2026-05-02 02:58:07.025656,14.97,27,0.405,
10,2,11,car,,2026-05-02 02:58:05.380482,2026-05-02 02:58:13.179633,7.8,15,0.367,
21,2,7,car,Blace L2,2026-05-02 02:58:11.450921,2026-05-02 03:00:40.129,148.68,162,0.781,
18,2,25,car,Blace L2,2026-05-02 02:58:12.101755,2026-05-02 02:59:18.890958,66.79,123,0.539,
17,2,20,car,Blace L2,2026-05-02 02:58:15.359391,2026-05-02 02:59:14.058516,58.7,108,0.565,
14,2,11,car,,2026-05-02 02:58:18.673939,2026-05-02 02:58:44.052032,25.38,47,0.36,
12,2,26,car,Blace L2,2026-05-02 02:58:30.088675,2026-05-02 02:58:37.92975,7.84,15,0.504,
16,2,10,car,Blace L3,2026-05-02 02:58:54.426973,2026-05-02 02:59:11.906349,17.48,33,0.431,
19,2,13,car,Blace L3,2026-05-02 02:59:15.663275,2026-05-02 02:59:30.300476,14.64,28,0.371,
25,2,20,car,Blace L2,2026-05-02 02:59:17.81567,2026-05-02 03:00:43.612955,85.8,47,0.825,
22,2,32,car,Blace L2,2026-05-02 02:59:19.428995,2026-05-02 03:00:43.612955,84.18,44,0.601,
23,2,33,car,Blace L2,2026-05-02 02:59:21.67768,2026-05-02 03:00:43.612955,81.94,40,0.608,
26,2,25,car,Blace L2,2026-05-02 02:59:32.52098,2026-05-02 03:00:43.612955,71.09,20,0.754,
27,2,10,car,Blace L3,2026-05-02 03:01:17.163546,2026-05-02 03:01:34.280841,17.12,32,0.72,lane_switch:Blace L3>Blace L2
29,2,7,car,Blace L2,2026-05-02 03:01:17.163546,2026-05-02 03:02:22.369443,65.21,118,0.771,
35,2,33,car,Blace L2,2026-05-02 03:01:34.280841,2026-05-02 03:04:36.234115,181.95,325,0.815,
30,2,41,car,Blace L2,2026-05-02 03:02:23.472807,2026-05-02 03:02:53.013964,29.54,51,0.604,
34,2,45,car,,2026-05-02 03:02:40.064182,2026-05-02 03:04:33.43148,113.37,203,0.618,
32,2,48,car,Blace L3,2026-05-02 03:02:53.573858,2026-05-02 03:03:22.042702,28.47,51,0.735,
33,2,47,car,Blace L2,2026-05-02 03:03:00.052413,2026-05-02 03:03:25.41065,25.36,46,0.535,
36,2,2,car,,2026-05-02 03:04:58.835054,2026-05-02 03:05:14.659924,15.82,30,0.606,
37,2,3,car,Blace L2,2026-05-02 03:04:58.835054,2026-05-02 03:05:28.977994,30.14,56,0.656,
39,2,1,car,Blace L2,2026-05-02 03:04:58.835054,2026-05-02 03:05:55.011684,56.18,104,0.913,
43,2,2,car,,2026-05-02 03:05:15.764715,2026-05-02 03:06:59.988793,104.22,189,0.572,
38,2,6,car,Blace L2,2026-05-02 03:05:28.437409,2026-05-02 03:05:41.518866,13.08,25,0.568,
40,2,8,car,Blace L2,2026-05-02 03:05:38.228217,2026-05-02 03:06:03.429254,25.2,47,0.623,
41,2,11,car,Blace L2,2026-05-02 03:06:02.312463,2026-05-02 03:06:10.547368,8.23,16,0.661,
42,2,11,car,Blace L2,2026-05-02 03:06:11.643576,2026-05-02 03:06:52.235983,40.59,74,0.862,
44,2,11,car,Blace L2,2026-05-02 03:06:53.913828,2026-05-02 03:07:19.622569,25.71,46,0.639,
47,2,20,car,Blace L2,2026-05-02 03:07:02.770146,2026-05-02 03:09:34.627817,151.86,276,0.847,
46,2,11,car,Blace L2,2026-05-02 03:07:22.312437,2026-05-02 03:09:31.914682,129.6,236,0.812,
45,2,25,car,Blace L3,2026-05-02 03:08:07.04047,2026-05-02 03:08:38.280484,31.24,58,0.709,
49,2,30,car,,2026-05-02 03:09:35.192119,2026-05-02 03:12:51.607367,196.42,250,0.701,
48,2,33,car,,2026-05-02 03:11:26.717371,2026-05-02 03:11:39.289331,12.57,24,0.396,
51,2,35,car,Blace L3,2026-05-02 03:13:32.530321,2026-05-02 03:15:52.584171,140.05,254,0.944,
59,2,37,car,Blace L3,2026-05-02 03:13:32.530321,2026-05-02 03:18:45.743562,313.21,580,0.826,
61,2,36,car,Blace L3,2026-05-02 03:13:32.530321,2026-05-02 03:20:07.897909,395.37,751,0.926,
64,2,38,car,Blace L3,2026-05-02 03:13:36.536972,2026-05-02 03:20:48.155786,431.62,821,0.74,
50,2,45,car,,2026-05-02 03:14:50.74649,2026-05-02 03:15:07.988039,17.24,32,0.353,
52,2,58,car,Blace L3,2026-05-02 03:16:51.839161,2026-05-02 03:17:05.318482,13.48,31,0.474,
53,2,59,car,Blace L3,2026-05-02 03:16:58.601557,2026-05-02 03:17:05.318482,6.72,16,0.537,
54,2,59,car,Blace L3,2026-05-02 03:17:07.479184,2026-05-02 03:17:20.005585,12.53,20,0.373,
55,2,58,car,Blace L3,2026-05-02 03:17:13.741555,2026-05-02 03:17:29.729451,15.99,38,0.417,
58,2,60,car,,2026-05-02 03:17:20.005585,2026-05-02 03:17:53.412827,33.41,72,0.581,
56,2,59,car,Blace L3,2026-05-02 03:17:28.894263,2026-05-02 03:17:38.778753,9.88,15,0.376,
57,2,59,car,Blace L3,2026-05-02 03:17:40.517476,2026-05-02 03:17:48.044722,7.53,19,0.337,
78,2,66,car,Blace L3,2026-05-02 03:18:04.190288,2026-05-02 03:23:18.974945,314.78,623,0.797,
60,2,78,car,Blace L3,2026-05-02 03:18:53.333668,2026-05-02 03:19:41.986148,48.65,100,0.62,
67,2,78,car,Blace L3,2026-05-02 03:20:00.131631,2026-05-02 03:21:12.590899,72.46,149,0.879,
73,2,82,car,Blace L2,2026-05-02 03:20:07.897909,2026-05-02 03:22:01.985947,114.09,226,0.736,
62,2,91,car,Blace L2,2026-05-02 03:20:17.008786,2026-05-02 03:20:25.842745,8.83,22,0.5,
63,2,95,car,Blace L2,2026-05-02 03:20:17.900212,2026-05-02 03:20:48.155786,30.26,64,0.605,
68,2,89,car,Blace L3,2026-05-02 03:20:31.90619,2026-05-02 03:21:31.872868,59.97,115,0.714,
65,2,103,car,Blace L2,2026-05-02 03:20:38.055778,2026-05-02 03:20:48.155786,10.1,25,0.434,
89,2,113,car,Blace L2,2026-05-02 03:20:41.527067,2026-05-02 03:26:13.733852,332.21,661,0.708,
69,2,106,car,Blace L3,2026-05-02 03:20:48.964652,2026-05-02 03:21:31.872868,42.91,85,0.654,
84,2,38,car,Blace L3,2026-05-02 03:20:48.964652,2026-05-02 03:24:16.647979,207.68,408,0.914,
66,2,117,car,,2026-05-02 03:20:55.093784,2026-05-02 03:21:05.114128,10.02,15,0.366,
81,2,106,car,Blace L3,2026-05-02 03:21:35.119243,2026-05-02 03:23:18.974945,103.86,202,0.751,
72,2,121,car,Blace L3,2026-05-02 03:21:38.633425,2026-05-02 03:22:01.985947,23.35,46,0.514,
71,2,127,car,Blace L2,2026-05-02 03:21:44.228534,2026-05-02 03:21:56.581901,12.35,24,0.428,
70,2,125,car,,2026-05-02 03:21:48.94351,2026-05-02 03:21:54.951785,6.01,15,0.443,
85,2,89,car,Blace L3,2026-05-02 03:21:52.393546,2026-05-02 03:24:24.678462,152.28,305,0.76,
77,2,129,car,Blace L2,2026-05-02 03:21:58.818198,2026-05-02 03:23:09.369691,70.55,142,0.862,
74,2,130,car,Blace L2,2026-05-02 03:22:01.074969,2026-05-02 03:22:15.860852,14.79,26,0.592,
82,2,121,car,Blace L3,2026-05-02 03:22:07.44552,2026-05-02 03:23:18.974945,71.53,140,0.705,
75,2,125,car,Blace L2,2026-05-02 03:22:17.930531,2026-05-02 03:22:27.198572,9.27,25,0.504,
79,2,130,car,Blace L2,2026-05-02 03:22:20.800487,2026-05-02 03:23:18.974945,58.17,113,0.803,
76,2,137,car,Blace L2,2026-05-02 03:22:47.656369,2026-05-02 03:22:57.695782,10.04,16,0.415,
80,2,137,car,Blace L2,2026-05-02 03:23:02.391822,2026-05-02 03:23:18.974945,16.58,31,0.434,
83,2,148,car,,2026-05-02 03:23:22.795549,2026-05-02 03:23:28.797503,6,15,0.5,
87,2,147,car,Blace L2,2026-05-02 03:23:22.795549,2026-05-02 03:25:02.278836,99.48,204,0.878,
88,2,148,car,,2026-05-02 03:23:31.692525,2026-05-02 03:25:15.006804,103.31,204,0.579,
86,2,157,car,,2026-05-02 03:24:31.560802,2026-05-02 03:24:38.360485,6.8,17,0.382,
90,2,163,car,Blace L3,2026-05-02 03:24:34.997014,2026-05-02 03:26:41.145858,126.15,247,0.876,
93,2,166,car,Blace L2,2026-05-02 03:25:20.158765,2026-05-02 03:28:30.694764,190.54,373,0.762,
92,2,148,car,,2026-05-02 03:25:46.099025,2026-05-02 03:28:23.757638,157.66,314,0.635,
91,2,169,car,Blace L3,2026-05-02 03:25:48.078278,2026-05-02 03:27:33.176786,105.1,205,0.866,
96,2,186,car,Blace L3,2026-05-02 03:28:23.757638,2026-05-02 03:30:12.695515,108.94,164,0.855,
94,2,166,car,Blace L2,2026-05-02 03:28:35.07913,2026-05-02 03:28:54.104395,19.03,37,0.654,
98,2,148,car,,2026-05-02 03:28:38.825215,2026-05-02 05:23:52.001531,6913.18,608,0.644,
95,2,166,car,Blace L2,2026-05-02 03:28:55.260673,2026-05-02 03:29:01.63755,6.38,16,0.653,
97,2,205,car,,2026-05-02 04:45:51.104156,2026-05-02 04:46:02.122399,11.02,16,0.345,
99,2,148,car,,2026-05-02 05:24:10.131448,2026-05-02 05:24:38.358703,28.23,73,0.584,
100,2,219,car,Blace L3,2026-05-02 05:24:32.032084,2026-05-02 05:24:39.924632,7.89,18,0.446,
102,2,218,car,Blace L3,2026-05-02 05:24:35.824263,2026-05-02 05:25:44.973482,69.15,177,0.885,
103,2,148,car,,2026-05-02 05:24:45.613845,2026-05-02 05:25:58.006887,72.39,178,0.564,
101,2,219,car,Blace L3,2026-05-02 05:24:51.699213,2026-05-02 05:25:44.669598,52.97,140,0.796,
104,2,219,car,Blace L3,2026-05-02 05:25:58.306863,2026-05-02 05:26:57.079869,58.77,153,0.936,
105,2,232,car,Blace L3,2026-05-02 05:25:58.771218,2026-05-02 05:28:54.908525,176.14,450,0.889,
106,2,231,truck,,2026-05-02 05:25:58.771218,2026-05-02 05:32:21.439415,382.67,749,0.709,
107,2,247,car,Blace L2,2026-05-02 05:32:57.381234,2026-05-02 05:33:17.375293,19.99,53,0.721,lane_switch:Blace L2>Blace L3
108,2,248,car,Blace L3,2026-05-02 05:33:58.621779,2026-05-02 05:34:37.474337,38.85,102,0.697,
109,2,254,car,Blace L3,2026-05-02 05:34:28.366933,2026-05-02 05:35:02.897734,34.53,90,0.67,
110,2,17,car,Blace L2,2026-05-02 13:38:10.698916,2026-05-02 13:38:23.415269,12.72,26,0.349,
112,2,1,car,Blace L3,2026-05-02 13:38:10.698916,2026-05-02 13:38:34.058967,23.36,46,0.93,
118,2,4,car,Blace L1,2026-05-02 13:38:10.698916,2026-05-02 13:39:18.820973,68.12,127,0.863,
120,2,3,car,Blace L2,2026-05-02 13:38:10.698916,2026-05-02 13:39:33.057118,82.36,153,0.933,
122,2,6,truck,Blace L1,2026-05-02 13:38:10.698916,2026-05-02 13:39:35.27208,84.57,157,0.865,
132,2,2,car,Blace L3,2026-05-02 13:38:10.698916,2026-05-02 13:40:05.548265,114.85,212,0.94,
134,2,15,car,Blace L1,2026-05-02 13:38:10.698916,2026-05-02 13:40:16.08612,125.39,231,0.485,
135,2,10,car,Blace L1,2026-05-02 13:38:10.698916,2026-05-02 13:40:20.010413,129.31,238,0.743,
151,2,7,car,Blace L3,2026-05-02 13:38:10.698916,2026-05-02 13:41:59.253394,228.55,420,0.92,
153,2,5,car,Blace L2,2026-05-02 13:38:10.698916,2026-05-02 13:42:14.013425,243.31,447,0.911,
154,2,8,car,Blace L1,2026-05-02 13:38:10.698916,2026-05-02 13:42:15.650342,244.95,450,0.888,
155,2,9,car,Blace L2,2026-05-02 13:38:10.698916,2026-05-02 13:42:28.783949,258.09,474,0.901,
161,2,11,car,Blace L3,2026-05-02 13:38:10.698916,2026-05-02 13:43:43.76376,333.06,500,0.856,
171,2,13,car,Blace L3,2026-05-02 13:38:10.698916,2026-05-02 13:45:18.325103,427.63,608,0.806,
173,2,12,car,Blace L2,2026-05-02 13:38:10.698916,2026-05-02 13:45:26.47418,435.78,623,0.851,
111,2,14,truck,,2026-05-02 13:38:18.395792,2026-05-02 13:38:30.090244,11.69,24,0.4,
113,2,14,truck,,2026-05-02 13:38:31.167489,2026-05-02 13:38:46.853232,15.69,29,0.441,
114,2,31,car,,2026-05-02 13:38:31.714908,2026-05-02 13:38:46.853232,15.14,28,0.433,
115,2,17,car,Blace L2,2026-05-02 13:38:47.396364,2026-05-02 13:38:58.945073,11.55,22,0.352,
125,2,14,truck,,2026-05-02 13:38:47.949053,2026-05-02 13:39:42.404323,54.46,100,0.492,
116,2,35,car,Blace L3,2026-05-02 13:38:51.242525,2026-05-02 13:39:00.072998,8.83,17,0.453,
117,2,56,car,,2026-05-02 13:39:02.864482,2026-05-02 13:39:13.303359,10.44,20,0.421,
119,2,16,truck,Blace L3,2026-05-02 13:39:03.424145,2026-05-02 13:39:29.207447,25.78,48,0.365,
123,2,57,car,Blace L2,2026-05-02 13:39:03.424145,2026-05-02 13:39:41.306467,37.88,70,0.416,
