8,1,2026-04-28 05:29:00.000000 +00:00,10,anonymous_,borderalarm,by anonymous_ | 10 min | 28.04.2026 07:29 | by anonymous_ | Report waiting time,no_camera_data,
7,1,2026-04-28 06:24:00.000000 +00:00,5,anonymous_,borderalarm,by anonymous_ | 5 min | 28.04.2026 08:24 | by anonymous_ | 10 min,no_camera_data,
6,1,2026-04-28 07:29:00.000000 +00:00,10,anonymous_,borderalarm,by anonymous_ | 10 min | 28.04.2026 09:29 | by anonymous_ | 5 min,no_camera_data,
5,1,2026-04-28 08:24:00.000000 +00:00,5,anonymous_,borderalarm,by anonymous_ | 5 min | 28.04.2026 10:24 | by anonymous_ | 10 min,no_camera_data,
4,1,2026-04-28 09:24:00.000000 +00:00,15,anonymous_,borderalarm,by anonymous_ | 15 min | 28.04.2026 11:24 | by anonymous_ | 5 min,no_camera_data,
3,1,2026-04-28 10:23:00.000000 +00:00,10,anonymous_,borderalarm,by anonymous | 10 min | 28.04.2026 12:23 | by anonymous_ | 15 min,no_camera_data,
2,1,2026-04-28 10:53:00.000000 +00:00,15,anonymous,borderalarm,by anonymous_ | 15 min | 28.04.2026 12:53 | by anonymous | 10 min,no_camera_data,
1,1,2026-04-28 11:56:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 28.04.2026 13:56 | by anonymous_ | 15 min,no_camera_data,
9,1,2026-04-28 12:58:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 28.04.2026 14:58 | by anonymous_ | 10 min,ok,1.1
10,1,2026-04-28 13:58:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 28.04.2026 15:58 | by anonymous_ | 5 min,ok,1.1
11,1,2026-04-28 14:55:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 28.04.2026 16:55 | by anonymous_ | 10 min,ok,1.1
12,1,2026-04-28 15:54:00.000000 +00:00,15,anonymous_,borderalarm,Lastly reported | 15 min | 28.04.2026 17:54 | by anonymous_ | 5 min,ok,1
13,1,2026-04-28 16:54:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 28.04.2026 18:54 | by anonymous_ | 15 min,ok,0.7
14,1,2026-04-28 17:54:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 28.04.2026 19:54 | by anonymous_ | 10 min,ok,0.7
15,1,2026-04-28 18:54:00.000000 +00:00,15,anonymous_,borderalarm,Lastly reported | 15 min | 28.04.2026 20:54 | by anonymous_ | 5 min,ok,0.5
16,1,2026-04-28 19:57:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 28.04.2026 21:57 | by anonymous_ | 15 min,ok,0.7
17,1,2026-04-28 20:57:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 28.04.2026 22:57 | by anonymous_ | 10 min,ok,0.7
18,1,2026-04-28 21:57:00.000000 +00:00,15,anonymous_,borderalarm,Lastly reported | 15 min | 28.04.2026 23:57 | by anonymous_ | 5 min,ok,0.7
19,1,2026-04-28 22:55:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 29.04.2026 00:55 | by anonymous_ | 15 min,ok,0.5
20,1,2026-04-28 23:59:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 29.04.2026 01:59 | by anonymous_ | 10 min,ok,0.6
21,1,2026-04-29 00:58:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 29.04.2026 02:58 | by anonymous_ | 5 min,ok,0.5
22,1,2026-04-29 01:58:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 29.04.2026 03:58 | by anonymous_ | 10 min,ok,0.9
29,1,2026-04-29 08:58:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 29.04.2026 10:58 | by anonymous_ | 15 min,ok,0.6
30,1,2026-04-29 09:53:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 29.04.2026 11:53 | by anonymous_ | 10 min,ok,0.7
23,1,2026-04-29 02:56:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 29.04.2026 04:56 | by anonymous_ | 5 min,ok,0.5
24,1,2026-04-29 03:54:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 29.04.2026 05:54 | by anonymous_ | 10 min,ok,0.6
25,1,2026-04-29 04:58:00.000000 +00:00,15,anonymous_,borderalarm,Lastly reported | 15 min | 29.04.2026 06:58 | by anonymous_ | 5 min,ok,1
26,1,2026-04-29 05:56:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 29.04.2026 07:56 | by anonymous_ | 15 min,ok,0.7
27,1,2026-04-29 06:59:00.000000 +00:00,5,anonymous_,borderalarm,Lastly reported | 5 min | 29.04.2026 08:59 | by anonymous_ | 10 min,ok,0.6
28,1,2026-04-29 07:59:00.000000 +00:00,15,anonymous_,borderalarm,Lastly reported | 15 min | 29.04.2026 09:59 | by anonymous_ | 5 min,ok,0.7
31,1,2026-04-29 10:55:00.000000 +00:00,15,anonymous_,borderalarm,Lastly reported | 15 min | 29.04.2026 12:55 | by anonymous_ | 5 min,ok,0.6
32,1,2026-04-29 11:54:00.000000 +00:00,10,anonymous_,borderalarm,Lastly reported | 10 min | 29.04.2026 13:54 | by anonymous_ | 15 min,ok,0.8
