1,3,2026-05-01 22:58:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 01.05.2026 22:58 | by anonymous_ | 10 min
2,3,2026-05-01 21:55:00+02,10,anonymous_,borderalarm,by anonymous_ | 10 min | 01.05.2026 21:55 | by anonymous_ | 5 min
3,3,2026-05-01 20:58:00+02,5,anonymous_,borderalarm,by anonymous_ | 5 min | 01.05.2026 20:58 | by anonymous_ | 10 min
4,3,2026-05-01 19:53:00+02,10,anonymous_,borderalarm,by anonymous_ | 10 min | 01.05.2026 19:53 | by anonymous_ | 5 min
5,3,2026-05-01 18:55:00+02,5,anonymous_,borderalarm,by anonymous_ | 5 min | 01.05.2026 18:55 | by anonymous_ | 10 min
6,3,2026-05-01 17:58:00+02,10,anonymous_,borderalarm,by anonymous_ | 10 min | 01.05.2026 17:58 | by anonymous_ | 15 min
7,3,2026-05-01 16:53:00+02,15,anonymous_,borderalarm,by anonymous_ | 15 min | 01.05.2026 16:53 | by anonymous_ | 5 min
8,3,2026-05-01 15:55:00+02,5,anonymous_,borderalarm,by anonymous_ | 5 min | 01.05.2026 15:55 | by anonymous_ | Estimated waiting time by Google
9,3,2026-05-01 23:59:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 01.05.2026 23:59 | by anonymous_ | 5 min
10,3,2026-05-02 00:57:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 00:57 | by anonymous_ | 15 min
11,3,2026-05-02 01:59:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 01:59 | by anonymous_ | 10 min
12,3,2026-05-02 02:55:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 02:55 | by anonymous_ | 5 min
13,3,2026-05-02 03:56:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 03:56 | by anonymous_ | 10 min
14,3,2026-05-02 04:55:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 04:55 | by anonymous_ | 5 min
15,3,2026-05-02 05:53:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 05:53 | by anonymous_ | 10 min
16,3,2026-05-02 06:55:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 06:55 | by anonymous_ | 5 min
17,3,2026-05-02 07:56:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 07:56 | by anonymous_ | 10 min
18,3,2026-05-02 08:53:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 08:53 | by anonymous_ | 5 min
19,3,2026-05-02 09:59:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 09:59 | by anonymous_ | 10 min
20,3,2026-05-02 10:55:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 10:55 | by anonymous_ | 5 min
21,3,2026-05-02 11:55:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 11:55 | by anonymous_ | 10 min
22,3,2026-05-02 12:14:00+02,20,anonymous,borderalarm,Lastly reported | 20 min | 02.05.2026 12:14 | by anonymous | 5 min
23,3,2026-05-02 13:27:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 02.05.2026 13:27 | by anonymous_ | 20 min
24,3,2026-05-02 14:25:00+02,10,anonymous_,borderalarm,Lastly reported | 10 min | 02.05.2026 14:25 | by anonymous_ | 15 min
25,3,2026-05-02 15:27:00+02,5,anonymous_,borderalarm,Lastly reported | 5 min | 02.05.2026 15:27 | by anonymous_ | 10 min
26,3,2026-05-02 16:23:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 02.05.2026 16:23 | by anonymous_ | 5 min
27,3,2026-05-02 17:25:00+02,20,anonymous,borderalarm,Lastly reported | 20 min | 02.05.2026 17:25 | by anonymous | 15 min
28,3,2026-05-02 18:28:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 02.05.2026 18:28 | by anonymous_ | 20 min
