id,crossing_id,track_id,vehicle_type,lane,entered_at,exited_at,duration_sec,was_reassigned,frame_count,avg_confidence,notes
1,5,1,car,,2026-05-04 13:42:29.213318+02,2026-05-04 13:42:42.02029+02,12.81,f,93,0.436,
2,5,4,car,,2026-05-04 13:42:43.143501+02,2026-05-04 13:42:45.884857+02,2.74,f,20,0.441,
3,5,4,car,,2026-05-04 13:42:46.73113+02,2026-05-04 13:42:53.799969+02,7.07,f,52,0.441,
4,5,8,car,,2026-05-04 13:42:54.079519+02,2026-05-04 13:42:58.561625+02,4.48,f,33,0.349,
5,5,7,car,,2026-05-04 13:42:54.079519+02,2026-05-04 13:42:58.561625+02,4.48,f,33,0.726,
6,5,9,car,Kafasan L2,2026-05-04 13:42:58.843012+02,2026-05-04 13:43:02.595553+02,3.75,f,28,0.897,
7,5,10,car,,2026-05-04 13:42:58.843012+02,2026-05-04 13:43:08.212227+02,9.37,f,68,0.405,
8,5,10,car,,2026-05-04 13:43:08.498613+02,2026-05-04 13:43:16.140382+02,7.64,f,56,0.414,
9,5,14,car,,2026-05-04 13:43:16.437627+02,2026-05-04 13:44:50.568205+02,94.13,f,192,0.421,
10,5,14,car,,2026-05-04 13:44:50.863111+02,2026-05-04 13:44:58.800744+02,7.94,f,56,0.414,
11,5,21,car,,2026-05-04 13:44:59.085294+02,2026-05-04 13:45:30.725034+02,31.64,f,213,0.423,
14,5,21,car,,2026-05-04 13:45:31.054426+02,2026-05-04 13:46:10.38321+02,39.33,f,273,0.416,
12,5,42,car,Kafasan L2,2026-05-04 13:45:42.822932+02,2026-05-04 13:45:46.774444+02,3.95,f,28,0.821,
13,5,52,car,Kafasan L2,2026-05-04 13:46:00.244151+02,2026-05-04 13:46:02.670173+02,2.43,f,18,0.878,
15,5,57,car,,2026-05-04 13:46:02.958058+02,2026-05-04 13:46:11.10071+02,8.14,f,57,0.311,
16,5,58,car,,2026-05-04 13:46:03.680027+02,2026-05-04 13:46:11.10071+02,7.42,f,52,0.74,
23,5,59,car,,2026-05-04 13:46:10.672626+02,2026-05-04 13:50:16.737135+02,246.06,f,866,0.483,
17,5,75,car,Kafasan L2,2026-05-04 13:46:25.974855+02,2026-05-04 13:46:28.214413+02,2.24,f,16,0.784,
18,5,78,car,,2026-05-04 13:46:31.84347+02,2026-05-04 13:46:38.046862+02,6.2,f,43,0.309,
19,5,83,truck,Kafasan L2,2026-05-04 13:47:09.143928+02,2026-05-04 13:47:14.370328+02,5.23,f,36,0.875,lane_switch:Kafasan L2>Kafasan L1
20,5,98,truck,Kafasan L2,2026-05-04 13:48:33.809014+02,2026-05-04 13:48:39.068889+02,5.26,f,36,0.875,lane_switch:Kafasan L2>Kafasan L1
21,5,112,car,Kafasan L2,2026-05-04 13:48:49.531455+02,2026-05-04 13:48:52.000401+02,2.47,f,18,0.855,
22,5,113,car,,2026-05-04 13:48:49.531455+02,2026-05-04 13:48:52.000401+02,2.47,f,18,0.309,
24,5,123,bus,Kafasan L2,2026-05-04 13:50:11.684123+02,2026-05-04 13:50:16.885613+02,5.2,f,36,0.8,lane_switch:Kafasan L2>Kafasan L1
28,5,59,car,,2026-05-04 13:50:19.577191+02,2026-05-04 13:52:15.47282+02,115.9,f,314,0.472,
25,5,138,car,Kafasan L2,2026-05-04 13:50:58.304392+02,2026-05-04 13:51:00.340883+02,2.04,f,15,0.818,
26,5,155,car,Kafasan L2,2026-05-04 13:51:05.410812+02,2026-05-04 13:51:32.613723+02,27.2,f,25,0.816,
27,5,158,car,,2026-05-04 13:51:33.954381+02,2026-05-04 13:51:43.563873+02,9.61,f,67,0.328,
29,5,165,car,,2026-05-04 13:52:15.765612+02,2026-05-04 13:52:21.205068+02,5.44,f,38,0.459,
30,5,165,car,,2026-05-04 13:52:21.766431+02,2026-05-04 13:53:00.033654+02,38.27,f,105,0.435,
31,5,165,car,,2026-05-04 13:53:00.315713+02,2026-05-04 13:53:31.633837+02,31.32,f,209,0.47,
32,5,185,bus,Kafasan L2,2026-05-04 13:53:26.822001+02,2026-05-04 13:53:31.778852+02,4.96,f,36,0.8,lane_switch:Kafasan L2>Kafasan L1
36,5,165,car,,2026-05-04 13:53:34.347575+02,2026-05-04 13:54:19.125926+02,44.78,f,314,0.472,
33,5,200,car,Kafasan L2,2026-05-04 13:53:49.539864+02,2026-05-04 13:53:51.535545+02,2,f,15,0.818,
34,5,217,car,Kafasan L2,2026-05-04 13:53:56.521442+02,2026-05-04 13:53:59.943441+02,3.42,f,25,0.816,
35,5,220,car,,2026-05-04 13:54:01.231415+02,2026-05-04 13:54:10.603289+02,9.37,f,67,0.328,
37,5,227,car,,2026-05-04 13:54:19.41521+02,2026-05-04 13:54:24.741639+02,5.33,f,38,0.459,
38,5,227,car,,2026-05-04 13:54:25.316785+02,2026-05-04 13:54:40.142727+02,14.83,f,105,0.435,
41,5,227,car,,2026-05-04 13:54:40.431915+02,2026-05-04 13:54:57.742502+02,17.31,f,104,0.458,
39,5,243,truck,Kafasan L2,2026-05-04 13:54:45.79211+02,2026-05-04 13:54:49.837418+02,4.05,f,29,0.765,lane_switch:Kafasan L2>Kafasan L1
40,5,258,bus,Kafasan L2,2026-05-04 13:54:53.571605+02,2026-05-04 13:54:57.148021+02,3.58,f,25,0.811,lane_switch:Kafasan L2>Kafasan L1
48,5,227,car,,2026-05-04 13:54:58.935683+02,2026-05-04 13:57:01.111432+02,122.18,f,362,0.471,
42,5,275,truck,Kafasan L2,2026-05-04 13:55:00.839027+02,2026-05-04 13:55:03.341263+02,2.5,f,18,0.874,lane_switch:Kafasan L2>Kafasan L1
43,5,262,car,,2026-05-04 13:55:04.218932+02,2026-05-04 13:55:06.258441+02,2.04,f,15,0.339,
44,5,289,truck,Kafasan L2,2026-05-04 13:55:09.314457+02,2026-05-04 13:55:13.438793+02,4.12,f,29,0.765,lane_switch:Kafasan L2>Kafasan L1
45,5,262,car,,2026-05-04 13:55:16.532075+02,2026-05-04 13:55:21.167529+02,4.64,f,33,0.363,
46,5,299,truck,Kafasan L2,2026-05-04 13:56:34.870796+02,2026-05-04 13:56:38.905912+02,4.04,f,29,0.765,lane_switch:Kafasan L2>Kafasan L1
47,5,298,car,,2026-05-04 13:56:41.9946+02,2026-05-04 13:56:46.729393+02,4.73,f,33,0.363,
54,5,227,car,,2026-05-04 13:57:01.399477+02,2026-05-04 13:59:01.929821+02,120.53,f,583,0.447,
49,5,331,car,,2026-05-04 13:57:33.127844+02,2026-05-04 13:57:37.345707+02,4.22,f,30,0.383,
50,5,351,car,,2026-05-04 13:57:40.404397+02,2026-05-04 13:57:42.941922+02,2.54,f,18,0.351,
51,5,375,car,,2026-05-04 13:58:18.246022+02,2026-05-04 13:58:22.24101+02,3.99,f,29,0.384,
52,5,393,car,,2026-05-04 13:58:25.298588+02,2026-05-04 13:58:27.76879+02,2.47,f,18,0.351,
53,5,401,bus,Kafasan L2,2026-05-04 13:58:31.544099+02,2026-05-04 13:59:00.789883+02,29.25,f,33,0.838,lane_switch:Kafasan L2>Kafasan L1>Kafasan L2>Kafasan L1
55,5,397,car,,2026-05-04 13:59:00.36337+02,2026-05-04 13:59:04.230111+02,3.87,f,28,0.378,
56,5,415,car,,2026-05-04 13:59:03.789558+02,2026-05-04 13:59:05.948671+02,2.16,f,16,0.412,
57,5,397,car,,2026-05-04 13:59:06.238313+02,2026-05-04 13:59:08.512753+02,2.27,f,17,0.381,
59,5,415,car,,2026-05-04 13:59:07.232347+02,2026-05-04 13:59:19.528874+02,12.3,f,72,0.45,
58,5,397,car,,2026-05-04 13:59:10.952888+02,2026-05-04 13:59:13.224226+02,2.27,f,17,0.368,
60,5,415,car,,2026-05-04 13:59:19.815564+02,2026-05-04 13:59:29.527062+02,9.71,f,68,0.44,
61,5,397,car,,2026-05-04 13:59:28.220133+02,2026-05-04 13:59:31.817021+02,3.6,f,26,0.383,
62,5,425,car,,2026-05-04 13:59:31.245135+02,2026-05-04 13:59:33.40486+02,2.16,f,16,0.412,
64,5,397,car,,2026-05-04 13:59:33.546727+02,2026-05-04 13:59:38.298525+02,4.75,f,34,0.386,
63,5,425,car,,2026-05-04 13:59:34.706799+02,2026-05-04 13:59:38.153752+02,3.45,f,25,0.47,
65,5,397,car,,2026-05-04 13:59:38.593991+02,2026-05-04 13:59:41.618019+02,3.02,f,22,0.371,
66,5,415,car,,2026-05-04 13:59:39.898801+02,2026-05-04 13:59:47.116936+02,7.22,f,36,0.449,
67,5,415,car,,2026-05-04 13:59:47.404597+02,2026-05-04 13:59:55.962293+02,8.56,f,60,0.428,
68,5,415,car,,2026-05-04 13:59:56.254577+02,2026-05-04 14:00:00.992724+02,4.74,f,33,0.417,
69,5,415,car,,2026-05-04 14:00:01.288126+02,2026-05-04 14:01:12.774825+02,71.49,f,29,0.436,
70,5,415,car,,2026-05-04 14:01:13.068925+02,2026-05-04 14:01:21.474406+02,8.41,f,60,0.428,
71,5,415,car,,2026-05-04 14:01:21.760438+02,2026-05-04 14:01:26.388318+02,4.63,f,33,0.417,
73,5,415,car,,2026-05-04 14:01:26.68293+02,2026-05-04 14:01:34.478928+02,7.8,f,55,0.421,
72,5,440,car,,2026-05-04 14:01:28.999453+02,2026-05-04 14:01:32.321851+02,3.32,f,24,0.384,
74,5,440,car,,2026-05-04 14:01:32.890134+02,2026-05-04 14:01:35.367143+02,2.48,f,18,0.362,
76,5,415,car,,2026-05-04 14:01:35.367143+02,2026-05-04 14:01:58.195064+02,22.83,f,114,0.417,
75,5,397,car,,2026-05-04 14:01:53.789246+02,2026-05-04 14:01:56.06606+02,2.28,f,17,0.382,
77,5,397,car,,2026-05-04 14:01:56.351633+02,2026-05-04 14:01:59.192202+02,2.84,f,21,0.364,
78,5,463,car,,2026-05-04 14:02:01.191385+02,2026-05-04 14:02:08.626178+02,7.43,f,53,0.42,
79,5,499,car,,2026-05-04 14:02:22.47023+02,2026-05-04 14:02:29.109302+02,6.64,f,47,0.37,
80,5,463,car,,2026-05-04 14:02:36.023288+02,2026-05-04 14:02:38.220278+02,2.2,f,16,0.407,
82,5,463,car,,2026-05-04 14:02:39.530184+02,2026-05-04 14:02:45.561816+02,6.03,f,42,0.422,
81,5,499,car,,2026-05-04 14:02:41.007165+02,2026-05-04 14:02:43.370061+02,2.36,f,17,0.382,
83,5,499,car,,2026-05-04 14:02:43.670374+02,2026-05-04 14:02:46.590113+02,2.92,f,21,0.364,
84,5,551,car,,2026-05-04 14:02:48.74136+02,2026-05-04 14:02:56.804201+02,8.06,f,53,0.42,
85,5,611,car,,2026-05-04 14:03:19.58492+02,2026-05-04 14:03:22.329005+02,2.74,f,19,0.404,
86,5,587,car,,2026-05-04 14:03:20.671992+02,2026-05-04 14:03:23.103272+02,2.43,f,17,0.369,
87,5,587,car,,2026-05-04 14:03:23.413738+02,2026-05-04 14:03:49.738034+02,26.32,f,15,0.333,
88,5,587,car,,2026-05-04 14:03:54.521725+02,2026-05-04 14:03:57.240992+02,2.72,f,20,0.384,
89,5,587,car,,2026-05-04 14:04:00.272713+02,2026-05-04 14:04:02.905207+02,2.63,f,19,0.339,
90,5,611,car,,2026-05-04 14:04:04.371422+02,2026-05-04 14:04:07.715897+02,3.34,f,21,0.443,
91,5,611,car,,2026-05-04 14:04:31.312498+02,2026-05-04 14:04:33.790207+02,2.48,f,18,0.407,
92,5,551,car,,2026-05-04 14:04:35.437881+02,2026-05-04 14:04:37.644732+02,2.21,f,16,0.407,
94,5,587,car,,2026-05-04 14:04:42.253191+02,2026-05-04 14:04:48.875634+02,6.62,f,46,0.366,
93,5,611,car,,2026-05-04 14:04:44.156649+02,2026-05-04 14:04:48.129882+02,3.97,f,28,0.402,
95,5,587,car,,2026-05-04 14:06:00.530699+02,2026-05-04 14:06:03.303037+02,2.77,f,20,0.384,
96,5,587,car,,2026-05-04 14:06:06.379832+02,2026-05-04 14:06:08.955646+02,2.58,f,19,0.339,
97,5,611,car,,2026-05-04 14:06:10.427319+02,2026-05-04 14:06:13.372948+02,2.95,f,21,0.443,
98,5,100,car,Kafasan L2,2026-05-04 14:15:07.681607+02,2026-05-04 14:15:10.366279+02,2.68,f,19,0.795,
99,5,1,car,,2026-05-04 14:16:15.079673+02,2026-05-04 14:16:17.864343+02,2.78,f,20,0.419,
100,5,8,car,,2026-05-04 14:16:23.952207+02,2026-05-04 14:16:26.281623+02,2.33,f,17,0.417,
101,5,8,car,,2026-05-04 14:16:26.568567+02,2026-05-04 14:16:32.675258+02,6.11,f,42,0.445,
102,5,29,car,Kafasan L2,2026-05-04 14:16:33.264037+02,2026-05-04 14:16:35.904755+02,2.64,f,19,0.795,
103,5,23,car,,2026-05-04 14:16:33.564336+02,2026-05-04 14:16:36.652948+02,3.09,f,22,0.355,
104,5,31,car,,2026-05-04 14:16:38.536555+02,2026-05-04 14:16:40.905907+02,2.37,f,17,0.382,
105,5,8,car,,2026-05-04 14:16:39.54559+02,2026-05-04 14:16:42.557676+02,3.01,f,21,0.438,
106,5,8,car,,2026-05-04 14:16:44.002566+02,2026-05-04 14:16:47.775412+02,3.77,f,27,0.402,
109,5,8,car,,2026-05-04 14:16:48.936306+02,2026-05-04 14:17:00.918761+02,11.98,f,84,0.42,
107,5,31,car,,2026-05-04 14:16:51.102149+02,2026-05-04 14:16:53.411426+02,2.31,f,17,0.352,
108,5,38,car,,2026-05-04 14:16:56.150848+02,2026-05-04 14:16:58.169811+02,2.02,f,15,0.336,
110,5,38,car,,2026-05-04 14:16:58.46358+02,2026-05-04 14:17:02.798341+02,4.33,f,31,0.35,
111,5,8,car,,2026-05-04 14:17:01.928941+02,2026-05-04 14:17:06.480459+02,4.55,f,32,0.414,
112,5,45,car,Kafasan L3,2026-05-04 14:17:04.446464+02,2026-05-04 14:17:08.228769+02,3.78,f,27,0.847,lane_switch:Kafasan L3>Kafasan L2
113,5,50,car,Kafasan L3,2026-05-04 14:17:04.879835+02,2026-05-04 14:17:08.52554+02,3.65,f,26,0.807,
114,5,38,car,,2026-05-04 14:17:05.315938+02,2026-05-04 14:17:09.819498+02,4.5,f,32,0.36,
116,5,52,car,Kafasan L2,2026-05-04 14:17:05.315938+02,2026-05-04 14:17:11.275016+02,5.96,f,42,0.842,lane_switch:Kafasan L2>Kafasan L1>Kafasan L2
120,5,55,car,,2026-05-04 14:17:06.768464+02,2026-05-04 14:17:29.817314+02,23.05,f,145,0.443,
115,5,57,truck,Kafasan L2,2026-05-04 14:17:07.63939+02,2026-05-04 14:17:11.275016+02,3.64,f,26,0.804,
118,5,38,car,,2026-05-04 14:17:11.42392+02,2026-05-04 14:17:14.032943+02,2.61,f,19,0.528,
117,5,64,car,,2026-05-04 14:17:11.570796+02,2026-05-04 14:17:14.032943+02,2.46,f,18,0.886,
119,5,63,truck,Kafasan L2,2026-05-04 14:17:11.570796+02,2026-05-04 14:17:14.032943+02,2.46,f,18,0.909,
121,5,55,car,,2026-05-04 14:17:30.687601+02,2026-05-04 14:17:35.820494+02,5.13,f,36,0.434,
122,5,55,car,,2026-05-04 14:17:40.835819+02,2026-05-04 14:17:43.684059+02,2.85,f,20,0.419,
123,5,87,car,,2026-05-04 14:17:49.774736+02,2026-05-04 14:17:52.110216+02,2.34,f,17,0.417,
124,5,87,car,,2026-05-04 14:17:52.402831+02,2026-05-04 14:17:58.395747+02,5.99,f,42,0.445,
125,5,108,car,Kafasan L2,2026-05-04 14:17:58.979076+02,2026-05-04 14:18:01.606247+02,2.63,f,19,0.795,
126,5,102,car,,2026-05-04 14:17:59.274904+02,2026-05-04 14:18:02.341884+02,3.07,f,22,0.355,
127,5,110,car,,2026-05-04 14:18:04.225267+02,2026-05-04 14:18:06.549297+02,2.32,f,17,0.382,
128,5,87,car,,2026-05-04 14:18:05.240958+02,2026-05-04 14:18:08.142188+02,2.9,f,21,0.438,
129,5,87,car,,2026-05-04 14:18:09.589036+02,2026-05-04 14:18:13.51733+02,3.93,f,27,0.402,
132,5,87,car,,2026-05-04 14:18:14.700043+02,2026-05-04 14:18:26.993699+02,12.29,f,84,0.42,
130,5,110,car,,2026-05-04 14:18:16.874998+02,2026-05-04 14:18:19.200196+02,2.33,f,17,0.352,
131,5,117,car,,2026-05-04 14:18:22.084555+02,2026-05-04 14:18:24.174569+02,2.09,f,15,0.336,
133,5,117,car,,2026-05-04 14:18:24.474987+02,2026-05-04 14:18:28.912092+02,4.44,f,31,0.35,
134,5,87,car,,2026-05-04 14:18:28.033817+02,2026-05-04 14:18:32.70627+02,4.67,f,32,0.414,
135,5,124,car,Kafasan L3,2026-05-04 14:18:30.582968+02,2026-05-04 14:18:34.471679+02,3.89,f,27,0.847,lane_switch:Kafasan L3>Kafasan L2
136,5,129,car,Kafasan L3,2026-05-04 14:18:31.031484+02,2026-05-04 14:18:34.764663+02,3.73,f,26,0.807,
137,5,117,car,,2026-05-04 14:18:31.482159+02,2026-05-04 14:18:36.151059+02,4.67,f,32,0.36,
139,5,131,car,Kafasan L2,2026-05-04 14:18:31.482159+02,2026-05-04 14:18:37.614379+02,6.13,f,42,0.842,lane_switch:Kafasan L2>Kafasan L1>Kafasan L2
143,5,134,car,,2026-05-04 14:18:32.99849+02,2026-05-04 14:18:56.254199+02,23.26,f,145,0.443,
138,5,136,truck,Kafasan L2,2026-05-04 14:18:33.874631+02,2026-05-04 14:18:37.614379+02,3.74,f,26,0.804,
140,5,117,car,,2026-05-04 14:18:37.761143+02,2026-05-04 14:18:40.387346+02,2.63,f,19,0.528,
141,5,142,truck,Kafasan L2,2026-05-04 14:18:37.909717+02,2026-05-04 14:18:40.387346+02,2.48,f,18,0.909,
142,5,143,car,,2026-05-04 14:18:37.909717+02,2026-05-04 14:18:40.387346+02,2.48,f,18,0.886,
144,5,134,car,,2026-05-04 14:18:57.131057+02,2026-05-04 14:19:02.250616+02,5.12,f,36,0.434,
145,5,166,car,,2026-05-04 14:19:07.22415+02,2026-05-04 14:19:10.167266+02,2.94,f,21,0.4,
147,5,166,car,,2026-05-04 14:19:10.462857+02,2026-05-04 14:19:26.010562+02,15.55,f,107,0.419,
146,5,172,car,,2026-05-04 14:19:14.704058+02,2026-05-04 14:19:18.24663+02,3.54,f,25,0.371,
150,5,177,car,Kafasan L2,2026-05-04 14:19:21.025049+02,2026-05-04 14:19:38.651639+02,17.63,f,80,0.838,
